,author,sex,work_count,fan_count,author_avg_rating,author_rating_count,author_review_count
0,"""whoopie pie"" pam jarrell",female,14,26,4.27,1448,116
1,'captain' robert brown,male,3,13,3.75,202,40
2,'nathan burgoine,male,49,288,4.12,4175,1014
3,19,male,5,73,3.96,461,142
4,50 cent,male,29,176,4.1,12274,1090
5,@id_ayahasi,male,1,1,3.98,98,30
6,a yi,male,21,21,3.35,758,160
7,a'lelia perry bundles,female,4,85,3.35,1664,64
8,a. aimee,female,2,73,4.08,79,40
9,a. ali ural,male,26,57,4.01,1447,109
10,a. avraham perlmutter,male,1,8,3.84,200,21
11,a. ayyappan,male,11,101,4.0,263,3
12,a. blake white,male,14,14,4.25,142,23
13,a. brad schwartz,female,3,25,3.78,629,131
14,a. breeze harper,female,3,29,4.25,464,61
15,a. catherine noon,female,17,50,3.61,641,125
16,a. den doolaard,male,22,10,3.37,422,34
17,a. digger stolz,male,3,13,4.18,677,61
18,a. dirk moses,male,14,4,4.14,57,7
19,a. emma hollis,female,1,3,3.2,25,7
20,a. ferdinand herold,male,7,0,3.68,19,1
21,a. gavazzoni,female,5,223,4.27,223,126
22,a. giacomi,female,10,79,4.04,200,86
23,a. gorman,female,24,75,4.12,399,131
24,a. hyatt verrill,male,111,1,3.61,499,37
25,a. igoni barrett,male,6,104,3.44,2424,404
26,a. jacob sweeny,female,11,190,4.3,473,178
27,a. james kolar,male,1,4,3.99,868,86
28,a. jones,female,3,22,4.58,697,204
29,a. kirk,female,13,1333,4.2,17171,1626
30,a. lexy beck,female,10,19,3.87,1415,73
31,a. lopez jr.,male,25,56,3.51,1634,187
32,a. manette ansay,female,8,111,3.4,32823,1684
33,a. marie johnson,female,13,117,4.58,1377,462
34,a. meredith walters,female,35,4262,4.0,97491,8518
35,a. merritt,male,172,73,3.8,7180,694
36,a. mustofa bisri,male,42,126,4.02,1972,173
37,a. norman jeffares,male,142,3,3.89,659,50
38,a. payne,female,14,80,4.18,526,178
39,a. ras,male,0,11,3.84,50,8
40,a. robert allen,male,7,79,4.31,498,357
41,a. samad ismail,male,20,14,3.85,147,41
42,a. samad said,male,66,316,4.06,3139,427
43,a. sanh,female,11,15,4.37,49,20
44,a. scott berg,male,10,111,4.04,15341,1255
45,a. sreedhara menon,male,19,19,3.85,368,22
46,a. teeuw,male,26,6,4.12,408,37
47,a. turan oflazoğlu,male,31,3,3.77,181,22
48,a. van kraft,male,1,1,3.76,42,6
49,a. violet end,female,41,77,3.31,413,87
50,a. woodley,female,14,22,3.0,2,2
51,a. zavarelli,female,38,4537,4.16,84013,11944
52,a.a. askevold,female,3,122,4.08,829,71
53,a.a. attanasio,male,50,239,3.87,8502,699
54,a.a. dark,female,10,445,4.11,3468,759
55,a.a. fair,male,56,37,3.8,4068,570
56,a.a. hoehling,male,33,2,3.7,250,44
57,a.a. mcdonald,female,1,16,3.27,681,161
58,a.a. milne,male,974,2657,4.36,524429,11068
59,a.a. navis,male,26,76,3.9,4595,437
60,a.a. volts,male,5,27,3.58,165,27
61,a.a. warren,male,5,8,4.14,185,58
62,a.b. gayle,female,17,180,3.77,2015,524
63,a.b. guthrie jr.,male,35,70,3.96,10239,762
64,a.b. keuser,female,24,32,3.72,195,75
65,a.b. mckinley,male,4,101,4.3,464,89
66,a.b. michaels,female,10,377,4.19,766,162
67,a.b. paterson,male,94,19,4.0,1219,144
68,a.b. shepherd,female,2,27,3.94,95,47
69,a.b. simpson,male,180,23,4.07,559,46
70,a.b. westrick,female,3,29,3.9,692,203
71,a.b. whelan,female,15,536,3.82,2803,724
72,a.b. yehoshua,male,57,151,3.74,6903,813
73,a.c. baantjer,male,131,35,3.37,5704,432
74,a.c. bextor,female,24,1217,4.18,22667,2516
75,a.c. bhaktivedanta swami prabhupāda,male,333,385,4.21,12204,947
76,a.c. bradley,male,21,7,4.12,799,51
77,a.c. crispin,female,45,249,3.85,55113,1864
78,a.c. donaubauer,female,6,35,4.47,77,47
79,a.c. fuller,male,27,95,4.1,5628,775
80,a.c. gaughen,female,5,1821,3.96,39740,5095
81,a.c. graham,male,12,5,4.19,774,61
82,a.c. grayling,male,71,417,3.89,29938,1977
83,a.c. greene,male,29,3,3.99,122,26
84,a.c. grey,female,3,4,3.69,250,12
85,a.c. highfield,male,12,0,4.12,89,0
86,a.c. hutchinson,male,4,9,3.75,233,58
87,a.c. james,female,40,266,4.05,3815,1327
88,a.c. katt,female,35,160,3.89,5954,636
89,a.c. marchman,female,6,494,3.8,4155,393
90,a.c. pontone,female,9,130,4.13,1102,314
91,a.c. salter,male,6,90,4.41,185,59
92,a.c. taylor,female,17,103,4.43,2634,559
93,a.c. warneke,female,18,152,3.76,1759,327
94,a.c. weisbecker,male,1,30,3.88,2268,155
95,a.c. williams,female,15,46,4.44,330,135
96,a.c. wilson,female,17,243,3.97,1292,237
97,a.c.h. smith,male,17,45,4.17,4473,503
98,a.d. adams,male,9,6,4.14,280,8
99,a.d. christopher,male,12,16,3.27,482,32
100,a.d. cooper,female,25,33,3.37,277,42
101,a.d. davies,male,27,51,3.98,3432,275
102,a.d. justice,female,55,1173,4.2,12948,3781
103,a.d. mccammon,female,7,307,3.97,1055,253
104,a.d. miller,male,6,59,3.27,9144,1142
105,a.d. popovich,female,5,71,4.17,315,67
106,a.d. ryan,female,22,69,3.93,793,103
107,a.d. scott,female,9,154,3.7,3415,694
108,a.d. smith iii,male,1,12,3.67,27,7
109,a.d. starrling,female,29,348,4.16,2356,553
110,a.d. trosper,female,13,116,4.18,1324,227
111,a.e. decker,female,13,41,4.25,204,78
112,a.e. fielding,female,24,2,3.68,642,55
113,a.e. housman,male,88,106,4.04,5107,408
114,a.e. moorat,male,3,18,3.51,2799,296
115,a.e. murphy,female,27,711,4.15,12948,1764
116,a.e. poynor,male,3,7,3.75,212,22
117,a.e. radley,female,29,313,4.16,6547,1271
118,a.e. rought,female,6,59,3.42,798,261
119,a.e. ryecart,female,20,86,3.97,2007,590
120,a.e. stallings,female,20,53,4.15,1212,163
121,a.e. stueve,male,10,24,4.54,46,24
122,a.e. van vogt,male,387,308,3.83,42614,2665
123,a.e. via,female,21,2065,4.2,39252,5324
124,a.e. warren,female,2,17,4.24,157,54
125,a.e. wasp,female,34,419,4.03,11583,2145
126,a.e. woodward,female,11,405,3.79,4435,695
127,a.e.w. mason,male,98,37,3.84,5420,421
128,a.f. alexander,female,3,5,4.05,93,10
129,a.f. dery,female,11,35,3.74,1035,97
130,a.f. harrold,male,25,89,3.94,4467,1052
131,a.f. kay,male,2,22,4.46,722,62
132,a.f. pollard,male,46,2,3.6,195,9
133,a.f.n. clarke,male,8,5,4.02,286,43
134,a.f.th. van der heijden,male,52,160,3.68,12388,699
135,a.g. cascone,female,27,12,3.77,1517,155
136,a.g. claymore,male,15,18,4.03,926,59
137,a.g. hayes,male,9,8,4.29,24,8
138,a.g. henley,female,17,418,4.04,7091,854
139,a.g. howard,female,15,7712,4.01,114173,17853
140,a.g. keller,female,11,42,3.56,545,97
141,a.g. lafley,male,6,35,3.97,6087,359
142,a.g. marshall,female,14,93,4.15,1734,276
143,a.g. mogan,female,11,14,3.77,729,130
144,a.g. mojtabai,female,11,1,3.35,133,27
145,a.g. riddle,male,13,3230,3.91,177792,10613
146,a.g. roderick,male,1,1,3.9,84,20
147,a.g. roemmers,male,8,19,3.37,1756,321
148,a.g. silver,female,1,45,4.02,727,109
149,a.h. almaas,male,58,76,4.31,1820,144
150,a.h. benjamin,male,44,4,3.7,779,161
151,a.h. carlisle iii,male,3,14,4.34,50,6
152,a.h. de oliveira marques,male,123,4,3.93,308,24
153,a.h. metwally,male,3,3,3.82,17,9
154,a.h. richardson,female,7,20,4.06,193,146
155,a.h. tammsaare,male,76,32,3.73,7405,179
156,a.h.m. jones,male,20,6,3.82,252,35
157,a.i. nasser,male,43,61,3.9,3506,506
158,a.i. shoukry,male,4,43,3.79,58,19
159,a.j. aalto,female,16,440,4.13,11014,1128
160,a.j. aaron,male,13,9,3.28,271,49
161,a.j. adaire,female,11,32,3.93,845,89
162,a.j. adams,male,3,1,3.96,432,60
163,a.j. albany,female,1,5,3.98,186,29
164,a.j. arberry,male,90,22,4.16,1984,202
165,a.j. ayer,male,51,67,3.96,20939,657
166,a.j. bakke,female,24,9,4.06,455,142
167,a.j. banner,female,4,836,3.42,59735,5654
168,a.j. bennett,female,14,408,3.74,4514,668
169,a.j. betts,female,6,219,3.7,11171,1862
170,a.j. blue,female,25,19,3.98,665,32
171,a.j. brown,male,7,1,4.29,58,11
172,a.j. carella,female,24,265,3.84,8463,478
173,a.j. colby,female,5,50,3.92,577,62
174,a.j. compton,female,2,47,4.34,247,130
175,a.j. conyers,male,8,1,3.72,39,2
176,a.j. cooper,male,39,8,3.28,122,9
177,a.j. cosmo,male,87,100,3.95,4357,410
178,a.j. cronin,male,93,313,4.13,18140,1291
179,a.j. culey,female,21,27,4.39,175,113
180,a.j. davidson,female,32,84,4.76,6394,1323
181,a.j. dixon,female,11,6,2.83,143,35
182,a.j. downey,female,50,1017,4.2,16801,1591
183,a.j. dungo,male,1,16,4.39,1063,206
184,a.j. finn,male,2,4576,3.94,378434,37308
185,a.j. gabryel,male,4,2,3.19,167,12
186,a.j. goode,female,13,28,4.04,269,36
187,a.j. gordon,male,21,1,4.17,54,13
188,a.j. hackwith,female,6,395,3.87,4717,1090
189,a.j. hawke,female,10,6,4.47,664,52
190,a.j. jacobs,male,30,1559,3.75,114524,11778
191,a.j. krafton,female,1,22,3.69,207,85
192,a.j. lape,female,15,545,4.24,1529,379
193,a.j. lieberman,male,84,16,3.89,12025,662
194,a.j. liebling,male,38,37,4.06,3213,360
195,a.j. llewellyn,female,266,400,3.79,11936,1672
196,a.j. marcus,male,96,24,3.48,1928,392
197,a.j. martinez,male,14,51,3.66,161,81
198,a.j. matthews,male,5,6,3.38,218,34
199,a.j. mccarthy,female,4,84,4.02,504,113
200,a.j. menden,female,5,29,3.6,960,115
201,a.j. myers,female,4,190,4.06,920,113
202,a.j. newman,male,40,33,4.25,4216,319
203,a.j. parr,male,31,1,3.85,265,18
204,a.j. pine,female,19,620,3.96,5393,1387
205,a.j. pollard,male,19,4,3.8,421,39
206,a.j. powers,male,4,47,4.17,593,90
207,a.j. quinnell,male,15,83,4.17,5789,248
208,a.j. ryder,female,22,36,4.25,329,179
209,a.j. sand,female,5,357,3.96,4303,362
210,a.j. sherwood,female,10,233,4.3,6351,953
211,a.j. smith,male,6,267,3.93,3621,282
212,a.j. steiger,female,4,84,3.97,2099,375
213,a.j. stewart,male,31,57,4.31,6812,431
214,a.j. storm,female,16,122,4.48,347,209
215,a.j. thomas,female,8,331,4.0,6155,1042
216,a.j. truman,male,11,189,3.76,4355,746
217,a.j. waines,female,11,403,3.87,27816,1908
218,a.j. walters,female,7,151,4.03,363,164
219,a.j. write,female,41,59,4.61,1918,436
220,a.j.a. symons,male,7,7,3.98,408,57
