author,author_sex,author_work_count,rating_count,log_author_work_count,bins
50 cent,male,30,7329.0,1.4771212547196624,budding
a. kirk,female,14,5272.666666666667,1.146128035678238,budding
a. manette ansay,female,9,14418.0,0.9542425094393249,newbie
a. meredith walters,female,36,13256.5,1.5563025007672873,experienced
a. merritt,male,173,864.0,2.2380461031287955,legendary
a. samad said,male,67,101.75,1.8260748027008264,experienced
a.a. attanasio,male,51,671.3333333333334,1.7075701760979363,experienced
a.a. fair,male,57,93.0,1.7558748556724915,experienced
a.a. milne,male,975,53629.875,2.989004615698537,legendary
a.c. bextor,female,25,4810.0,1.3979400086720377,budding
a.c. crispin,female,46,675.5,1.662757831681574,experienced
a.c. gaughen,female,6,12012.0,0.7781512503836436,newbie
a.c. weisbecker,male,2,2308.0,0.3010299956639812,newbie
a.c.h. smith,male,18,3471.0,1.255272505103306,budding
a.e. van vogt,male,388,2127.5,2.5888317255942073,legendary
a.f. harrold,male,26,2886.0,1.414973347970818,budding
a.g. howard,female,16,15063.0,1.2041199826559248,budding
a.g. mogan,female,12,158.0,1.0791812460476249,budding
a.g. riddle,male,14,36746.0,1.146128035678238,budding
a.g. roemmers,male,9,1758.0,0.9542425094393249,newbie
a.h. tammsaare,male,77,2417.0,1.8864907251724818,experienced
a.j. betts,female,7,10298.0,0.8450980400142568,newbie
a.j. cronin,male,94,2289.1666666666665,1.9731278535996986,experienced
a.j. finn,male,3,405594.0,0.47712125471966244,newbie
a.j. hackwith,female,7,5743.0,0.8450980400142568,newbie
a.j. jacobs,male,31,60533.0,1.4913616938342726,budding
a.j. quinnell,male,16,3281.0,1.2041199826559248,budding
a.j. waines,female,12,10229.0,1.0791812460476249,budding
a.j.p. taylor,male,59,764.5,1.7708520116421442,experienced
a.l. davroe,female,10,247.0,1.0,newbie
a.m. guilliams,female,16,156.0,1.2041199826559248,budding
a.m. hargrove,female,54,4443.0,1.7323937598229686,experienced
a.m. homes,female,54,10156.666666666666,1.7323937598229686,experienced
a.m. madden,female,41,6476.0,1.6127838567197355,experienced
a.m. robinson,female,3,4724.0,0.47712125471966244,newbie
a.m. willard,female,31,73.0,1.4913616938342726,budding
a.n. roquelaure,female,6,33278.666666666664,0.7781512503836436,newbie
a.n. willis,female,5,335.0,0.6989700043360189,newbie
