book,author,rating_count,page_count,genre,is_volume,author_work_count,author_sex,author_avg_rating,author_rating_count,book_size
inner circle,kate brian,7597,220,young adult,yes,40,female,3.93,182878,average
ambition,kate brian,6719,279,young adult,yes,40,female,3.93,182878,average
revelation,kate brian,7431,249,young adult,yes,40,female,3.93,182878,average
legacy,kate brian,7010,243,young adult,yes,40,female,3.93,182878,average
vanished,kate brian,3724,204,young adult,yes,40,female,3.93,182878,average
suspicion,kate brian,4613,212,young adult,yes,40,female,3.93,182878,average
scandal,kate brian,4722,228,young adult,yes,40,female,3.93,182878,average
the princess & the pauper,kate brian,5218,272,young adult,no,40,female,3.93,182878,average
vengeance,kate brian,2640,240,young adult,yes,40,female,3.93,182878,average
ominous,kate brian,3453,212,young adult,yes,40,female,3.93,182878,average
cruel love,kate brian,1819,224,young adult,yes,40,female,3.93,182878,average
the book of spells,kate brian,2849,302,young adult,yes,40,female,3.93,182878,average
beautiful disaster,kate brian,3147,278,young adult,yes,40,female,3.93,182878,average
perfect mistake,kate brian,2836,240,young adult,yes,40,female,3.93,182878,average
megan meade's guide to the mcgowan boys,kate brian,32161,268,young adult,no,40,female,3.93,182878,average
private,kate brian,18061,227,young adult,yes,40,female,3.93,182878,average
paradise lost,kate brian,5685,243,young adult,yes,40,female,3.93,182878,average
invitation only,kate brian,10720,257,young adult,yes,40,female,3.93,182878,average
last christmas,kate brian,4386,263,young adult,yes,40,female,3.93,182878,average
privilege,kate brian,6355,291,young adult,yes,40,female,3.93,182878,average
untouchable,kate brian,8417,256,young adult,yes,40,female,3.93,182878,average
confessions,kate brian,8815,240,young adult,yes,40,female,3.93,182878,average
a time to embrace,karen kingsbury,4179,400,christian fiction,yes,140,female,4.33,508728,average
take two,karen kingsbury,6288,320,christian fiction,yes,140,female,4.33,508728,average
just beyond the clouds,karen kingsbury,5131,352,christian fiction,yes,140,female,4.33,508728,average
rejoice,karen kingsbury,13587,344,christian fiction,yes,140,female,4.33,508728,average
redemption,karen kingsbury,27109,384,christian fiction,yes,140,female,4.33,508728,average
return,karen kingsbury,14230,384,christian fiction,yes,140,female,4.33,508728,average
forever,karen kingsbury,8601,346,christian fiction,yes,140,female,4.33,508728,average
sunrise,karen kingsbury,8474,301,christian fiction,yes,140,female,4.33,508728,average
summer,karen kingsbury,7507,350,christian fiction,yes,140,female,4.33,508728,average
divine,karen kingsbury,10145,355,christian fiction,no,140,female,4.33,508728,average
a thousand tomorrows,karen kingsbury,6346,241,christian fiction,yes,140,female,4.33,508728,average
like dandelion dust,karen kingsbury,8907,368,christian fiction,no,140,female,4.33,508728,average
between sundays,karen kingsbury,7612,298,christian fiction,no,140,female,4.33,508728,average
waiting for morning,karen kingsbury,6129,384,christian fiction,yes,140,female,4.33,508728,average
halfway to forever,karen kingsbury,3647,344,christian fiction,yes,140,female,4.33,508728,average
a moment of weakness,karen kingsbury,4135,416,christian fiction,yes,140,female,4.33,508728,average
shades of blue,karen kingsbury,6998,320,christian fiction,no,140,female,4.33,508728,average
this side of heaven,karen kingsbury,4991,352,christian fiction,yes,140,female,4.33,508728,average
oceans apart/between sundays,karen kingsbury,618,640,christian fiction,no,140,female,4.33,508728,bulky
angels walking,karen kingsbury,11550,384,christian fiction,yes,140,female,4.33,508728,average
take four,karen kingsbury,5420,368,christian fiction,yes,140,female,4.33,508728,average
take three,karen kingsbury,5982,336,christian fiction,yes,140,female,4.33,508728,average
unlocked,karen kingsbury,9986,323,christian fiction,no,140,female,4.33,508728,average
coming home,karen kingsbury,5439,304,christian fiction,yes,140,female,4.33,508728,average
leaving,karen kingsbury,16509,322,christian fiction,yes,140,female,4.33,508728,average
longing,karen kingsbury,7028,331,christian fiction,yes,140,female,4.33,508728,average
loving,karen kingsbury,6777,352,christian fiction,yes,140,female,4.33,508728,average
even now / ever after,karen kingsbury,1614,694,christian fiction,yes,140,female,4.33,508728,bulky
gideon's gift,karen kingsbury,3695,148,christian fiction,yes,140,female,4.33,508728,light
where yesterday lives,karen kingsbury,3384,401,christian fiction,no,140,female,4.33,508728,average
on every side,karen kingsbury,3314,384,christian fiction,no,140,female,4.33,508728,average
one tuesday morning / beyond tuesday morning,karen kingsbury,2643,617,christian fiction,yes,140,female,4.33,508728,bulky
hannah's hope,karen kingsbury,2253,162,christian fiction,yes,140,female,4.33,508728,average
maggie's miracle,karen kingsbury,2431,167,christian fiction,yes,140,female,4.33,508728,average
sarah's song,karen kingsbury,2133,156,christian fiction,yes,140,female,4.33,508728,average
let me hold you longer,karen kingsbury,997,32,childrens-picture books,no,140,female,4.33,508728,light
the red gloves collection,karen kingsbury,1066,640,christian fiction,yes,140,female,4.33,508728,bulky
a time to dance / a time to embrace,karen kingsbury,973,656,christian fiction,yes,140,female,4.33,508728,bulky
the princess and the three knights,karen kingsbury,317,32,childrens-picture books,no,140,female,4.33,508728,light
beyond tuesday morning,karen kingsbury,9216,320,christian fiction,yes,140,female,4.33,508728,average
reunion,karen kingsbury,13409,400,christian fiction,yes,140,female,4.33,508728,average
remember,karen kingsbury,19763,432,christian fiction,yes,140,female,4.33,508728,average
one tuesday morning,karen kingsbury,17620,352,christian,yes,140,female,4.33,508728,average
ever after,karen kingsbury,11245,337,christian fiction,yes,140,female,4.33,508728,average
forgiven,karen kingsbury,10569,358,christian fiction,yes,140,female,4.33,508728,average
family,karen kingsbury,9019,345,christian fiction,yes,140,female,4.33,508728,average
every now & then,karen kingsbury,5018,311,christian fiction,yes,140,female,4.33,508728,average
found,karen kingsbury,9617,342,christian fiction,yes,140,female,4.33,508728,average
fame,karen kingsbury,13283,354,christian fiction,yes,140,female,4.33,508728,average
oceans apart,karen kingsbury,9401,350,christian fiction,no,140,female,4.33,508728,average
even now,karen kingsbury,21352,333,christian fiction,yes,140,female,4.33,508728,average
someday,karen kingsbury,6928,323,christian fiction,yes,140,female,4.33,508728,average
a time to dance,karen kingsbury,7013,528,christian fiction,yes,140,female,4.33,508728,average
sunset,karen kingsbury,6789,315,christian fiction,yes,140,female,4.33,508728,average
take one,karen kingsbury,7869,352,christian fiction,yes,140,female,4.33,508728,average
when joy came to stay,karen kingsbury,3577,400,christian fiction,no,140,female,4.33,508728,average
reliquary,douglas preston,38382,464,thriller,yes,100,male,4.01,791166,average
cold vengeance,douglas preston,21711,457,thriller,yes,100,male,4.01,791166,average
white fire,douglas preston,21602,368,mystery,yes,100,male,4.01,791166,average
blasphemy,douglas preston,8939,381,thriller,yes,100,male,4.01,791166,average
blue labyrinth,douglas preston,18214,416,mystery,yes,100,male,4.01,791166,average
the codex,douglas preston,18349,404,thriller,no,100,male,4.01,791166,average
