,book,author,rating_count,page_count,genre,is_volume,author_work_count,author_sex,author_avg_rating,author_rating_count
0,inner circle,kate brian,7597,220,young adult,yes,40,female,3.93,182878
1,ambition,kate brian,6719,279,young adult,yes,40,female,3.93,182878
2,revelation,kate brian,7431,249,young adult,yes,40,female,3.93,182878
3,legacy,kate brian,7010,243,young adult,yes,40,female,3.93,182878
4,vanished,kate brian,3724,204,young adult,yes,40,female,3.93,182878
5,suspicion,kate brian,4613,212,young adult,yes,40,female,3.93,182878
6,scandal,kate brian,4722,228,young adult,yes,40,female,3.93,182878
7,the princess & the pauper,kate brian,5218,272,young adult,no,40,female,3.93,182878
8,vengeance,kate brian,2640,240,young adult,yes,40,female,3.93,182878
9,ominous,kate brian,3453,212,young adult,yes,40,female,3.93,182878
10,cruel love,kate brian,1819,224,young adult,yes,40,female,3.93,182878
11,the book of spells,kate brian,2849,302,young adult,yes,40,female,3.93,182878
12,beautiful disaster,kate brian,3147,278,young adult,yes,40,female,3.93,182878
13,perfect mistake,kate brian,2836,240,young adult,yes,40,female,3.93,182878
14,megan meade's guide to the mcgowan boys,kate brian,32161,268,young adult,no,40,female,3.93,182878
15,private,kate brian,18061,227,young adult,yes,40,female,3.93,182878
16,paradise lost,kate brian,5685,243,young adult,yes,40,female,3.93,182878
17,invitation only,kate brian,10720,257,young adult,yes,40,female,3.93,182878
18,last christmas,kate brian,4386,263,young adult,yes,40,female,3.93,182878
19,privilege,kate brian,6355,291,young adult,yes,40,female,3.93,182878
20,untouchable,kate brian,8417,256,young adult,yes,40,female,3.93,182878
21,confessions,kate brian,8815,240,young adult,yes,40,female,3.93,182878
22,a time to embrace,karen kingsbury,4179,400,christian fiction,yes,140,female,4.33,508728
23,take two,karen kingsbury,6288,320,christian fiction,yes,140,female,4.33,508728
24,just beyond the clouds,karen kingsbury,5131,352,christian fiction,yes,140,female,4.33,508728
25,rejoice,karen kingsbury,13587,344,christian fiction,yes,140,female,4.33,508728
26,redemption,karen kingsbury,27109,384,christian fiction,yes,140,female,4.33,508728
27,return,karen kingsbury,14230,384,christian fiction,yes,140,female,4.33,508728
28,forever,karen kingsbury,8601,346,christian fiction,yes,140,female,4.33,508728
29,sunrise,karen kingsbury,8474,301,christian fiction,yes,140,female,4.33,508728
30,summer,karen kingsbury,7507,350,christian fiction,yes,140,female,4.33,508728
31,divine,karen kingsbury,10145,355,christian fiction,no,140,female,4.33,508728
32,a thousand tomorrows,karen kingsbury,6346,241,christian fiction,yes,140,female,4.33,508728
33,like dandelion dust,karen kingsbury,8907,368,christian fiction,no,140,female,4.33,508728
34,between sundays,karen kingsbury,7612,298,christian fiction,no,140,female,4.33,508728
35,waiting for morning,karen kingsbury,6129,384,christian fiction,yes,140,female,4.33,508728
36,halfway to forever,karen kingsbury,3647,344,christian fiction,yes,140,female,4.33,508728
37,a moment of weakness,karen kingsbury,4135,416,christian fiction,yes,140,female,4.33,508728
38,shades of blue,karen kingsbury,6998,320,christian fiction,no,140,female,4.33,508728
39,this side of heaven,karen kingsbury,4991,352,christian fiction,yes,140,female,4.33,508728
40,oceans apart/between sundays,karen kingsbury,618,640,christian fiction,no,140,female,4.33,508728
41,angels walking,karen kingsbury,11550,384,christian fiction,yes,140,female,4.33,508728
42,take four,karen kingsbury,5420,368,christian fiction,yes,140,female,4.33,508728
43,take three,karen kingsbury,5982,336,christian fiction,yes,140,female,4.33,508728
45,unlocked,karen kingsbury,9986,323,christian fiction,no,140,female,4.33,508728
46,coming home,karen kingsbury,5439,304,christian fiction,yes,140,female,4.33,508728
48,leaving,karen kingsbury,16509,322,christian fiction,yes,140,female,4.33,508728
49,longing,karen kingsbury,7028,331,christian fiction,yes,140,female,4.33,508728
50,loving,karen kingsbury,6777,352,christian fiction,yes,140,female,4.33,508728
51,even now / ever after,karen kingsbury,1614,694,christian fiction,yes,140,female,4.33,508728
52,gideon's gift,karen kingsbury,3695,148,christian fiction,yes,140,female,4.33,508728
53,where yesterday lives,karen kingsbury,3384,401,christian fiction,no,140,female,4.33,508728
54,on every side,karen kingsbury,3314,384,christian fiction,no,140,female,4.33,508728
55,one tuesday morning / beyond tuesday morning,karen kingsbury,2643,617,christian fiction,yes,140,female,4.33,508728
